ID,titel,authors,geners,image,year,lang,isbn
1,"The Hunger Games (The Hunger Games, #1)",['Suzanne Collins'],"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",https://images.gr-assets.com/books/1447303603m/2767052.jpg,2008,eng,439023483
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'fiction', 'young-adult', 'classics']",https://images.gr-assets.com/books/1474154022m/3.jpg,1997,eng,439554934
3,"Twilight (Twilight, #1)",['Stephenie Meyer'],"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",https://images.gr-assets.com/books/1361039443m/41865.jpg,2005,eng,316015849
4,To Kill a Mockingbird,['Harper Lee'],"['classics', 'fiction', 'historical-fiction', 'young-adult']",https://images.gr-assets.com/books/1361975680m/2657.jpg,1960,eng,61120081
5,The Great Gatsby,['F. Scott Fitzgerald'],"['classics', 'fiction', 'historical-fiction', 'romance']",https://images.gr-assets.com/books/1490528560m/4671.jpg,1925,eng,743273567
6,The Fault in Our Stars,['John Green'],"['young-adult', 'romance', 'fiction', 'contemporary']",https://images.gr-assets.com/books/1360206420m/11870085.jpg,2012,eng,525478817
7,The Hobbit,['J.R.R. Tolkien'],"['fantasy', 'classics', 'fiction', 'young-adult']",https://images.gr-assets.com/books/1372847500m/5907.jpg,1937,eng,618260307
8,The Catcher in the Rye,['J.D. Salinger'],"['classics', 'fiction', 'young-adult']",https://images.gr-assets.com/books/1398034300m/5107.jpg,1951,eng,316769177
9,"Angels & Demons  (Robert Langdon, #1)",['Dan Brown'],"['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']",https://images.gr-assets.com/books/1303390735m/960.jpg,2000,eng,1416524797
10,Pride and Prejudice,['Jane Austen'],"['classics', 'fiction', 'romance', 'historical-fiction']",https://images.gr-assets.com/books/1320399351m/1885.jpg,1813,eng,679783261
11,The Kite Runner,['Khaled Hosseini'],"['fiction', 'historical-fiction', 'contemporary', 'classics']",https://images.gr-assets.com/books/1484565687m/77203.jpg,2003,eng,1594480001
12,"Divergent (Divergent, #1)",['Veronica Roth'],"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",https://images.gr-assets.com/books/1328559506m/13335037.jpg,2011,eng,62024035
15,The Diary of a Young Girl,"['Anne Frank', 'Eleanor Roosevelt', 'B.M. Mooyaart-Doubleday']","['nonfiction', 'classics', 'history', 'biography', 'memoir']",https://images.gr-assets.com/books/1358276407m/48855.jpg,1947,eng,553296981
16,"The Girl with the Dragon Tattoo (Millennium, #1)","['Stieg Larsson', 'Reg Keeland']","['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']",https://images.gr-assets.com/books/1327868566m/2429135.jpg,2005,eng,307269752
17,"Catching Fire (The Hunger Games, #2)",['Suzanne Collins'],"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",https://images.gr-assets.com/books/1358273780m/6148028.jpg,2009,eng,439023491
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['J.K. Rowling', 'Mary GrandPrÃ©', 'Rufus Beck']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1499277281m/5.jpg,1999,eng,043965548X
20,"Mockingjay (The Hunger Games, #3)",['Suzanne Collins'],"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",https://images.gr-assets.com/books/1358275419m/7260188.jpg,2010,eng,439023513
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1387141547m/2.jpg,2003,eng,439358078
22,The Lovely Bones,['Alice Sebold'],"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']",https://images.gr-assets.com/books/1457810586m/12232938.jpg,2002,eng,316166685
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1474169725m/15881.jpg,1998,eng,439064864
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1361482611m/6.jpg,2000,eng,439139600
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1474171184m/136251.jpg,2007,eng,545010225
26,"The Da Vinci Code (Robert Langdon, #2)",['Dan Brown'],"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']",https://images.gr-assets.com/books/1303252999m/968.jpg,2003,eng,307277674
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['J.K. Rowling', 'Mary GrandPrÃ©']","['fantasy', 'young-adult', 'fiction', 'classics']",https://images.gr-assets.com/books/1361039191m/1.jpg,2005,eng,439785960
28,Lord of the Flies,['William Golding'],"['classics', 'fiction', 'young-adult']",https://images.gr-assets.com/books/1327869409m/7624.jpg,1954,eng,140283331
29,Romeo and Juliet,"['William Shakespeare', 'Robert           Jackson']","['classics', 'fiction', 'romance', 'poetry']",https://images.gr-assets.com/books/1327872146m/18135.jpg,1595,eng,743477111
30,Gone Girl,['Gillian Flynn'],"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",https://images.gr-assets.com/books/1339602131m/8442457.jpg,2012,eng,297859382
31,The Help,['Kathryn Stockett'],"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']",https://images.gr-assets.com/books/1346100365m/4667024.jpg,2009,eng,399155341
32,Of Mice and Men,['John Steinbeck'],"['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1437235233m/890.jpg,1937,eng,142000671
33,Memoirs of a Geisha,['Arthur Golden'],"['fiction', 'historical-fiction', 'romance', 'classics']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,eng,739326228
34,"Fifty Shades of Grey (Fifty Shades, #1)",['E.L. James'],"['romance', 'fiction', 'contemporary', 'chick-lit']",https://images.gr-assets.com/books/1385207843m/10818853.jpg,2011,eng,1612130291
36,"The Giver (The Giver, #1)",['Lois Lowry'],"['young-adult', 'fiction', 'classics', 'science-fiction', 'fantasy']",https://images.gr-assets.com/books/1342493368m/3636.jpg,1993,eng,385732554
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",['C.S. Lewis'],"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']",https://images.gr-assets.com/books/1353029077m/100915.jpg,1950,eng,60764899
38,The Time Traveler's Wife,['Audrey Niffenegger'],"['fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary', 'chick-lit']",https://images.gr-assets.com/books/1437728815m/14050.jpg,2003,eng,965818675
39,"A Game of Thrones (A Song of Ice and Fire, #1)",['George R.R. Martin'],"['fantasy', 'fiction']",https://images.gr-assets.com/books/1436732693m/13496.jpg,1996,eng,553588486
40,"Eat, Pray, Love",['Elizabeth Gilbert'],"['nonfiction', 'memoir', 'travel', 'biography', 'chick-lit', 'romance', 'spirituality', 'contemporary']",https://images.gr-assets.com/books/1503066414m/19501.jpg,2006,eng,143038419
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",['Rick Riordan'],"['fantasy', 'young-adult', 'fiction']",https://images.gr-assets.com/books/1400602609m/28187.jpg,2005,eng,786838655
42,"Little Women (Little Women, #1)",['Louisa May Alcott'],"['classics', 'fiction', 'historical-fiction', 'young-adult', 'romance']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1868,eng,451529308
43,Jane Eyre,"['Charlotte BrontÃ«', 'Michael Mason']","['classics', 'fiction', 'romance', 'historical-fiction']",https://images.gr-assets.com/books/1327867269m/10210.jpg,1847,eng,142437204
45,Life of Pi,['Yann Martel'],"['fiction', 'fantasy', 'classics', 'contemporary', 'philosophy']",https://images.gr-assets.com/books/1320562005m/4214.jpg,2001,eng,770430074
46,Water for Elephants,['Sara Gruen'],"['fiction', 'historical-fiction', 'romance', 'contemporary']",https://images.gr-assets.com/books/1494428973m/43641.jpg,2006,eng,1565125606
47,The Book Thief,['Markus Zusak'],"['historical-fiction', 'fiction', 'young-adult', 'classics']",https://images.gr-assets.com/books/1390053681m/19063.jpg,2005,eng,375831002
49,"New Moon (Twilight, #2)",['Stephenie Meyer'],"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",https://images.gr-assets.com/books/1361039440m/49041.jpg,2006,eng,316160199
50,Where the Sidewalk Ends,['Shel Silverstein'],"['poetry', 'classics', 'fiction', 'young-adult', 'fantasy']",https://images.gr-assets.com/books/1168052448m/30119.jpg,1974,eng,60513039
51,"City of Bones (The Mortal Instruments, #1)",['Cassandra Clare'],"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",https://images.gr-assets.com/books/1432730315m/256683.jpg,2007,eng,1416914285
52,"Eclipse (Twilight, #3)",['Stephenie Meyer'],"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",https://images.gr-assets.com/books/1361038355m/428263.jpg,2007,eng,316160202
53,"Eragon (The Inheritance Cycle, #1)",['Christopher Paolini'],"['fantasy', 'young-adult', 'fiction']",https://images.gr-assets.com/books/1366212852m/113436.jpg,2002,eng,375826696
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",['Douglas Adams'],"['science-fiction', 'fiction', 'fantasy', 'classics']",https://images.gr-assets.com/books/1327656754m/11.jpg,1979,eng,345391802
55,Brave New World,['Aldous Huxley'],"['classics', 'fiction', 'science-fiction', 'fantasy', 'philosophy']",https://images.gr-assets.com/books/1487389574m/5129.jpg,1932,eng,60929871
56,"Breaking Dawn (Twilight, #4)",['Stephenie Meyer'],"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",https://images.gr-assets.com/books/1361039438m/1162543.jpg,2008,eng,031606792X
57,The Secret Life of Bees,['Sue Monk Kidd'],"['fiction', 'historical-fiction', 'young-adult', 'classics', 'contemporary', 'chick-lit']",https://images.gr-assets.com/books/1473454532m/37435.jpg,2001,eng,142001740
58,The Adventures of Huckleberry Finn,"['Mark Twain', 'John Seelye', 'Guy Cardwell']","['classics', 'fiction', 'historical-fiction', 'young-adult']",https://images.gr-assets.com/books/1405973850m/2956.jpg,1884,eng,142437174
59,Charlotte's Web,"['E.B. White', 'Garth Williams', 'Rosemary Wells']","['classics', 'fiction', 'young-adult', 'fantasy']",https://images.gr-assets.com/books/1439632243m/24178.jpg,1952,eng,64410935
60,The Curious Incident of the Dog in the Night-Time,['Mark Haddon'],"['fiction', 'mystery', 'young-adult', 'contemporary', 'classics', 'psychology']",https://images.gr-assets.com/books/1479863624m/1618.jpg,2003,eng,1400032717
61,The Girl on the Train,['Paula Hawkins'],"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",https://images.gr-assets.com/books/1490903702m/22557272.jpg,2015,eng,1594633665
62,"The Golden Compass (His Dark Materials, #1)",['Philip Pullman'],"['fantasy', 'young-adult', 'fiction', 'science-fiction']",https://images.gr-assets.com/books/1451271747m/119322.jpg,1995,eng,679879242
63,Wuthering Heights,"['Emily BrontÃ«', 'Richard J. Dunn']","['classics', 'fiction', 'romance', 'historical-fiction']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1847,eng,393978893
64,My Sister's Keeper,['Jodi Picoult'],"['fiction', 'contemporary', 'chick-lit', 'young-adult']",https://images.gr-assets.com/books/1369504683m/10917.jpg,2004,eng,743454537
65,Slaughterhouse-Five,['Kurt Vonnegut Jr.'],"['classics', 'fiction', 'science-fiction', 'historical-fiction', 'fantasy']",https://images.gr-assets.com/books/1440319389m/4981.jpg,1969,eng,385333846
66,Gone with the Wind,['Margaret Mitchell'],"['classics', 'historical-fiction', 'fiction', 'romance']",https://images.gr-assets.com/books/1328025229m/18405.jpg,1936,eng,446675539
67,A Thousand Splendid Suns,['Khaled Hosseini'],"['fiction', 'historical-fiction', 'contemporary']",https://images.gr-assets.com/books/1345958969m/128029.jpg,2007,eng,1594489505
68,The Perks of Being a Wallflower,['Stephen Chbosky'],"['young-adult', 'fiction', 'contemporary', 'romance', 'classics']",https://images.gr-assets.com/books/1167352178m/22628.jpg,1999,eng,671027344
69,"Insurgent (Divergent, #2)",['Veronica Roth'],"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",https://images.gr-assets.com/books/1325667729m/11735983.jpg,2012,eng,7442912
70,"Ender's Game (Ender's Saga, #1)",['Orson Scott Card'],"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics']",https://images.gr-assets.com/books/1408303130m/375802.jpg,1985,eng,812550706
72,The Shining (The Shining #1),['Stephen King'],"['horror', 'fiction', 'thriller', 'classics', 'fantasy', 'mystery', 'paranormal', 'suspense']",https://images.gr-assets.com/books/1353277730m/11588.jpg,1977,eng,450040186
73,"The Host (The Host, #1)",['Stephenie Meyer'],"['young-adult', 'science-fiction', 'fantasy', 'romance', 'fiction', 'paranormal']",https://images.gr-assets.com/books/1318009171m/1656001.jpg,2008,eng,316068047
74,Looking for Alaska,['John Green'],"['young-adult', 'fiction', 'contemporary', 'romance', 'mystery']",https://images.gr-assets.com/books/1394798630m/99561.jpg,2005,eng,142402516
75,"Bridget Jones's Diary (Bridget Jones, #1)",['Helen Fielding'],"['fiction', 'chick-lit', 'romance', 'contemporary']",https://images.gr-assets.com/books/1292060045m/227443.jpg,1996,eng,014028009X
76,Sense and Sensibility,"['Jane Austen', 'Tony Tanner', 'Ros Ballaster']","['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1397245675m/14935.jpg,1811,eng,141439661
77,"Holes (Holes, #1)","['Louis Sachar', 'Louis Sachar']","['young-adult', 'fiction', 'classics', 'mystery', 'contemporary']",https://images.gr-assets.com/books/1327781893m/38709.jpg,1998,eng,439244196
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",['Lauren Weisberger'],"['chick-lit', 'fiction', 'contemporary', 'romance']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,eng,307275558
79,The Odyssey,"['Homer', 'Robert Fagles', 'E.V. Rieu', 'FrÃ©dÃ©ric Mugler', 'Bernard Knox']","['classics', 'fiction', 'poetry', 'fantasy', 'historical-fiction']",https://images.gr-assets.com/books/1390173285m/1381.jpg,-720,eng,143039954
80,The Little Prince,"['Antoine de Saint-ExupÃ©ry', 'Richard Howard', 'Dom Marcos Barbosa', 'Melina Karakosta']","['classics', 'fiction', 'fantasy', 'young-adult', 'philosophy']",https://images.gr-assets.com/books/1367545443m/157993.jpg,1946,eng,156012197
81,The Glass Castle,['Jeannette Walls'],"['nonfiction', 'memoir', 'biography', 'contemporary']",https://images.gr-assets.com/books/1400930557m/7445.jpg,2005,eng,074324754X
82,Into the Wild,['Jon Krakauer'],"['nonfiction', 'biography', 'travel', 'classics', 'memoir']",https://images.gr-assets.com/books/1403173986m/1845.jpg,1996,eng,385486804
83,A Tale of Two Cities,"['Charles Dickens', 'Richard Maxwell', 'Hablot Knight Browne']","['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1344922523m/1953.jpg,1859,eng,141439602
85,The Giving Tree,['Shel Silverstein'],"['classics', 'fiction', 'poetry', 'young-adult', 'fantasy']",https://images.gr-assets.com/books/1174210942m/370493.jpg,1964,eng,60256656
86,A Time to Kill,['John Grisham'],"['fiction', 'mystery', 'thriller', 'crime', 'suspense']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,eng,385338600
87,Night (The Night Trilogy #1),"['Elie Wiesel', 'Marion Wiesel']","['nonfiction', 'classics', 'history', 'memoir', 'biography']",https://images.gr-assets.com/books/1473495285m/1617.jpg,1958,eng,374500010
88,Paper Towns,['John Green'],"['young-adult', 'contemporary', 'fiction', 'romance', 'mystery']",https://images.gr-assets.com/books/1349013610m/6442769.jpg,2008,eng,014241493X
